Frame,X,Y
646,342.0,518.0
647,342.0,520.0
648,344.0,522.0
649,346.0,524.0
650,346.0,526.0
651,348.0,528.0
652,350.0,530.0
653,350.0,530.0
654,352.0,532.0
655,352.0,534.0
656,354.0,536.0
657,354.0,536.0
658,356.0,538.0
659,356.0,540.0
660,358.0,540.0
661,358.0,542.0
662,360.0,544.0
663,360.0,544.0
664,360.0,546.0
665,362.0,546.0
666,362.0,548.0
667,364.0,548.0
668,364.0,550.0
669,364.0,550.0
670,366.0,552.0
671,366.0,552.0
672,366.0,554.0
673,366.0,554.0
674,368.0,554.0
675,368.0,556.0
676,368.0,556.0
677,368.0,556.0
678,368.0,556.0
679,368.0,556.0
680,368.0,556.0
681,370.0,556.0
682,370.0,556.0
683,370.0,556.0
684,370.0,556.0
685,370.0,556.0
686,370.0,556.0
687,368.0,556.0
688,368.0,556.0
689,368.0,556.0
690,368.0,556.0
691,368.0,554.0
692,368.0,554.0
693,366.0,554.0
694,366.0,552.0
695,366.0,552.0
696,366.0,552.0
697,364.0,550.0
698,364.0,550.0
699,364.0,550.0
700,362.0,548.0
701,362.0,548.0
702,362.0,546.0
703,360.0,544.0
704,360.0,544.0
705,358.0,542.0
706,358.0,540.0
707,356.0,540.0
708,356.0,538.0
709,354.0,538.0
710,354.0,536.0
711,352.0,534.0
712,352.0,532.0
713,350.0,530.0
714,348.0,530.0
715,348.0,528.0
716,346.0,526.0
717,344.0,524.0
718,344.0,522.0
719,342.0,520.0
720,342.0,518.0
721,340.0,518.0
722,340.0,516.0
723,338.0,514.0
724,336.0,512.0
725,336.0,510.0
726,334.0,508.0
727,332.0,506.0
728,330.0,506.0
729,330.0,504.0
730,328.0,502.0
731,326.0,500.0
732,326.0,498.0
733,324.0,496.0
734,324.0,494.0
735,322.0,492.0
736,320.0,492.0
737,320.0,490.0
738,318.0,488.0
739,318.0,486.0
740,316.0,484.0
741,314.0,482.0
742,314.0,482.0
743,312.0,480.0
744,312.0,478.0
745,310.0,478.0
746,310.0,476.0
747,310.0,474.0
748,308.0,474.0
749,306.0,472.0
750,306.0,470.0
751,304.0,470.0
752,304.0,468.0
753,304.0,466.0
754,302.0,466.0
755,302.0,466.0
756,302.0,464.0
757,300.0,464.0
758,300.0,462.0
759,300.0,462.0
760,300.0,462.0
761,298.0,460.0
762,298.0,460.0
763,298.0,460.0
764,298.0,458.0
765,298.0,458.0
766,296.0,458.0
767,296.0,458.0
768,296.0,458.0
769,296.0,458.0
770,296.0,458.0
771,296.0,458.0
772,298.0,458.0
773,298.0,458.0
774,298.0,458.0
775,298.0,458.0
776,298.0,460.0
777,298.0,460.0
778,298.0,460.0
779,298.0,460.0
780,300.0,462.0
781,300.0,462.0
782,300.0,462.0
783,300.0,464.0
784,302.0,464.0
785,302.0,466.0
786,302.0,466.0
787,304.0,466.0
788,304.0,468.0
789,306.0,470.0
790,306.0,470.0
791,306.0,472.0
792,308.0,472.0
793,308.0,474.0
794,310.0,476.0
795,310.0,476.0
796,312.0,478.0
797,312.0,480.0
798,314.0,482.0
799,316.0,482.0
800,316.0,484.0
801,318.0,486.0
802,318.0,488.0
803,320.0,488.0
804,320.0,490.0
805,322.0,492.0
806,324.0,494.0
807,324.0,496.0
808,326.0,498.0
809,326.0,500.0
810,328.0,502.0
811,330.0,504.0
812,330.0,504.0
813,332.0,506.0
814,334.0,508.0
815,334.0,510.0
816,336.0,512.0
817,338.0,514.0
818,338.0,516.0
819,340.0,518.0
820,342.0,518.0
821,342.0,520.0
822,344.0,522.0
823,346.0,524.0
824,346.0,526.0
825,348.0,528.0
826,348.0,530.0
827,350.0,530.0
828,352.0,532.0
829,352.0,534.0
830,354.0,534.0
831,354.0,536.0
832,356.0,538.0
833,356.0,540.0
834,358.0,540.0
835,358.0,542.0
836,360.0,544.0
837,360.0,544.0
838,360.0,546.0
839,362.0,546.0
840,362.0,548.0
841,364.0,548.0
842,364.0,550.0
843,364.0,550.0
844,364.0,552.0
845,366.0,552.0
846,366.0,554.0
847,366.0,554.0
848,366.0,554.0
849,368.0,554.0
850,368.0,556.0
851,368.0,556.0
852,368.0,556.0
853,368.0,556.0
854,368.0,556.0
855,370.0,556.0
856,370.0,556.0
857,370.0,556.0
858,370.0,556.0
859,370.0,556.0
860,368.0,556.0
861,368.0,556.0
862,368.0,556.0
863,368.0,556.0
864,368.0,556.0
865,368.0,554.0
866,368.0,554.0
867,366.0,554.0
868,366.0,554.0
869,366.0,552.0
870,364.0,552.0
871,364.0,550.0
872,364.0,550.0
873,362.0,550.0
874,362.0,548.0
875,362.0,546.0
876,360.0,546.0
877,360.0,544.0
878,360.0,544.0
879,358.0,542.0
880,358.0,542.0
881,356.0,540.0
882,356.0,538.0
883,354.0,536.0
884,352.0,536.0
885,352.0,534.0
886,352.0,532.0
887,350.0,530.0
888,348.0,530.0
889,348.0,528.0
890,346.0,526.0
891,346.0,524.0
892,344.0,522.0
893,342.0,522.0
894,342.0,520.0
895,340.0,518.0
896,338.0,516.0
897,338.0,514.0
898,336.0,512.0
899,336.0,510.0
900,334.0,508.0
901,332.0,506.0
902,332.0,504.0
903,330.0,504.0
904,328.0,502.0
905,328.0,500.0
906,326.0,498.0
907,324.0,496.0
908,324.0,494.0
909,322.0,492.0
910,320.0,492.0
911,320.0,490.0
912,318.0,488.0
913,316.0,486.0
914,316.0,484.0
915,316.0,484.0
916,314.0,482.0
917,312.0,480.0
918,312.0,478.0
919,310.0,478.0
920,310.0,476.0
921,308.0,474.0
922,308.0,474.0
923,306.0,472.0
924,306.0,470.0
925,304.0,470.0
926,304.0,468.0
927,304.0,468.0
928,302.0,466.0
929,302.0,466.0
930,302.0,464.0
931,300.0,464.0
932,300.0,464.0
933,300.0,462.0
934,300.0,462.0
935,300.0,462.0
936,298.0,460.0
937,298.0,460.0
938,298.0,460.0
939,298.0,458.0
940,298.0,460.0
941,298.0,458.0
942,298.0,458.0
943,296.0,458.0
944,298.0,458.0
945,298.0,458.0
946,298.0,458.0
947,298.0,458.0
948,298.0,458.0
949,298.0,460.0
950,298.0,460.0
951,298.0,460.0
952,298.0,460.0
953,298.0,462.0
954,300.0,462.0
955,300.0,462.0
956,302.0,462.0
957,302.0,464.0
958,302.0,464.0
959,302.0,466.0
960,302.0,466.0
961,304.0,468.0
962,304.0,468.0
963,306.0,470.0
964,306.0,470.0
965,306.0,472.0
966,308.0,474.0
967,308.0,474.0
968,310.0,476.0
969,312.0,478.0
970,312.0,478.0
971,314.0,480.0
972,314.0,482.0
973,316.0,482.0
974,316.0,484.0
975,318.0,486.0
976,318.0,488.0
977,320.0,490.0
978,322.0,492.0
979,322.0,492.0
980,324.0,494.0
981,324.0,496.0
982,326.0,498.0
983,328.0,500.0
984,328.0,502.0
985,330.0,502.0
986,330.0,504.0
987,332.0,506.0
988,334.0,508.0
989,336.0,510.0
990,336.0,512.0
991,338.0,514.0
992,338.0,516.0
993,340.0,518.0
994,342.0,518.0
995,342.0,520.0
996,344.0,522.0
997,346.0,524.0
998,346.0,526.0
999,348.0,528.0
1000,348.0,530.0
1001,350.0,530.0
1002,350.0,532.0
1003,352.0,534.0
1004,354.0,536.0
1005,354.0,536.0
